               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 153,            0.051567,              0.0299,                   0,              0.5261,             0.59949,             0.53983,             0.15217,            0.050401,            0.020347,                   0,           0.0022196,           0.0022196,           0.0022196
                 154,            0.051224,             0.03589,                   0,              0.5261,             0.59949,             0.53983,             0.15217,            0.050401,             0.02035,                   0,           0.0021717,           0.0021717,           0.0021717
                 155,            0.049906,            0.037425,                   0,             0.66537,                0.56,             0.64114,             0.17341,            0.052751,            0.020556,                   0,           0.0021245,           0.0021245,           0.0021245
                 156,            0.048318,            0.038311,                   0,             0.66537,                0.56,             0.64114,             0.17341,            0.052751,            0.020556,                   0,           0.0020782,           0.0020782,           0.0020782
                 157,            0.048076,            0.038083,                   0,             0.66537,                0.56,             0.64114,             0.17341,            0.052751,            0.020556,                   0,           0.0020327,           0.0020327,           0.0020327
                 158,            0.046391,            0.038178,                   0,             0.58451,               0.619,             0.61204,             0.17321,            0.049493,            0.020416,                   0,           0.0019881,           0.0019881,           0.0019881
                 159,            0.042361,            0.044302,                   0,             0.58451,               0.619,             0.61204,             0.17321,            0.049493,            0.020416,                   0,           0.0019443,           0.0019443,           0.0019443
                 160,             0.04554,            0.037161,                   0,             0.58451,               0.619,             0.61204,             0.17321,            0.049493,            0.020416,                   0,           0.0019014,           0.0019014,           0.0019014
                 161,            0.043916,            0.036807,                   0,             0.64115,                0.68,             0.67052,             0.19877,             0.05166,            0.020439,                   0,           0.0018594,           0.0018594,           0.0018594
                 162,            0.050576,             0.03836,                   0,             0.64115,                0.68,             0.67052,             0.19877,             0.05166,            0.020441,                   0,           0.0018183,           0.0018183,           0.0018183
                 163,            0.046481,            0.035733,                   0,             0.64115,                0.68,             0.67052,             0.19877,             0.05166,            0.020441,                   0,           0.0017781,           0.0017781,           0.0017781
                 164,            0.045871,            0.034193,                   0,             0.63459,                0.66,             0.67909,             0.19749,            0.048337,            0.020349,                   0,           0.0017389,           0.0017389,           0.0017389
                 165,            0.046306,            0.041978,                   0,             0.63459,                0.66,             0.67909,             0.19749,            0.048337,            0.020349,                   0,           0.0017005,           0.0017005,           0.0017005
                 166,            0.041926,            0.033452,                   0,             0.63459,                0.66,             0.67909,             0.19749,            0.048337,            0.020349,                   0,           0.0016631,           0.0016631,           0.0016631
                 167,            0.044284,            0.037052,                   0,             0.81007,                 0.6,             0.72489,             0.22344,            0.049744,            0.020339,                   0,           0.0016267,           0.0016267,           0.0016267
                 168,            0.042786,            0.036442,                   0,             0.81007,                 0.6,             0.72489,             0.22344,            0.049744,            0.020339,                   0,           0.0015912,           0.0015912,           0.0015912
                 169,            0.042178,            0.035387,                   0,             0.81007,                 0.6,             0.72489,             0.22344,            0.049744,            0.020338,                   0,           0.0015566,           0.0015566,           0.0015566
